"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 22 04:10:51 UTC 2023","Sat Jul 22 04:10:59 UTC 2023","8536","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","5. Navigate to Build Your Portfolio from Investment Choice",""
"passed","Sat Jul 22 06:20:51 UTC 2023","Sat Jul 22 06:20:53 UTC 2023","2384","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"passed","Sat Jul 22 05:16:33 UTC 2023","Sat Jul 22 05:16:54 UTC 2023","20227","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Sat Jul 22 04:18:35 UTC 2023","Sat Jul 22 04:18:51 UTC 2023","16291","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Sat Jul 22 07:12:54 UTC 2023","Sat Jul 22 07:12:56 UTC 2023","1299","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Sat Jul 22 06:08:00 UTC 2023","Sat Jul 22 06:08:01 UTC 2023","760","","6. Company Account","","","","9. Review Final Review",""
"passed","Sat Jul 22 06:55:47 UTC 2023","Sat Jul 22 06:55:47 UTC 2023","240","","20. Admin Portal - Check details","","","","3. Check panels existence",""
"passed","Sat Jul 22 05:16:01 UTC 2023","Sat Jul 22 05:16:21 UTC 2023","19607","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","1. Validate login credentials",""
"skipped","Sat Jul 22 04:10:51 UTC 2023","Sat Jul 22 04:10:51 UTC 2023","2","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","4. Check Help Modal in Investment Choice",""
"passed","Sat Jul 22 05:44:12 UTC 2023","Sat Jul 22 05:44:22 UTC 2023","9979","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","2. Create a Trust Account",""
"passed","Sat Jul 22 06:21:06 UTC 2023","Sat Jul 22 06:21:07 UTC 2023","773","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"passed","Sat Jul 22 06:06:00 UTC 2023","Sat Jul 22 06:06:21 UTC 2023","21588","","6. Company Account","","","","1. Validate login credentials",""
"passed","Sat Jul 22 04:11:24 UTC 2023","Sat Jul 22 04:11:31 UTC 2023","7402","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","7. Complete Screen and Tilts",""
"passed","Sat Jul 22 06:20:13 UTC 2023","Sat Jul 22 06:20:24 UTC 2023","11296","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"passed","Sat Jul 22 06:24:26 UTC 2023","Sat Jul 22 06:24:44 UTC 2023","18117","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"passed","Sat Jul 22 06:42:07 UTC 2023","Sat Jul 22 06:42:11 UTC 2023","3543","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"passed","Sat Jul 22 06:07:07 UTC 2023","Sat Jul 22 06:07:13 UTC 2023","6111","","6. Company Account","","","","5. Complete Screen and tilts",""
"passed","Sat Jul 22 06:55:58 UTC 2023","Sat Jul 22 06:56:01 UTC 2023","3318","","20. Admin Portal - Check details","","","","5. Check Investor Panel",""
"passed","Sat Jul 22 06:43:00 UTC 2023","Sat Jul 22 06:43:02 UTC 2023","2056","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"passed","Sat Jul 22 07:13:04 UTC 2023","Sat Jul 22 07:13:30 UTC 2023","25443","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
